asker_id,answerer_id,,,
932076,0,,,
7568091,1411457,,,
4528728,3650362,,,
9018487,794457,,,
8960078,0,,,
5613164,5613164,,,
1829329,155423,,,
5150012,234590,,,
1621232,155423,,,
4641854,3799609,2977291,,
84540,3561221,,,
600641,2733851,,,
4409029,11797207,,,
10865585,9072753,,,
853682,5163269,,,
11836252,0,,,
5233175,847382,,,
1644471,0,,,
3244776,8171453,,,
286285,0,,,
4552814,1026,,,
2296145,493729,,,
3880296,0,,,
5483488,0,,,
3527983,423170,,,
11234510,0,,,
7324619,0,,,
2992101,263525,,,
2284570,0,,,
2281274,1233251,,,
7853379,0,,,
4396823,155423,,,
801924,1150292,,,
725937,788207,,,
4203532,788207,,,
4203532,921321,,,
2408867,2408867,493729,,
558098,1021920,,,
3063273,493729,,,
1338952,155423,,,
211280,2707792,,,
3274010,6331045,,,
268567,155423,42353,,
2200659,155423,,,
4978464,865874,,,
6882497,2408867,3003401,,
1203556,255688,,,
2989337,2181263,,,
1932934,6073823,1732563,2288659,
3145469,115030,,,
2469620,8316315,,,
4562090,493729,1021920,,
198927,198927,,,
6775287,0,,,
3216180,155423,1103681,,
2626000,155423,,,
2812542,3131852,,,
1019129,0,,,
8659809,7076153,1233251,,
4186073,33499,,,
5903025,2408867,,,
2519977,2519977,,,
2213013,155423,,,
5520874,959847,,,
3079016,27009,3079016,3631244,
57171,155423,,,
5808553,5254193,542190,,
2202392,497043,,,
9159340,493729,,,
139802,1663857,788207,147192,139802
3809199,2570866,1256624,3458024,
692168,0,,,
1062636,6086311,3356777,42353,
8159982,155423,3650362,,
4605629,155423,,,
2962931,538551,,,
1048572,3650362,2733851,,
4528728,155423,,,
3466751,155423,,,
953419,155423,,,
4051748,0,,,
129805,788207,5731861,,
4453524,4453524,1034749,,
892819,1256624,788207,,
3265676,967945,,,
9337945,0,,,
3630178,155423,,,
8902004,147192,5034140,155423,
6860744,2733851,,,
6860744,0,,,
1473169,6171872,,,
7595633,147192,,,
3316999,147192,,,
9092224,9092224,,,
6261816,4051512,,,
2752635,234590,,,
None,1870153,,,
2991833,0,,,
3274909,0,,,
4605629,155423,6086311,,
454378,1517578,,,
4605629,155423,,,
2936448,0,,,
2936448,0,,,
6727725,155423,,,
7434592,155423,,,
8159982,8159982,,,
2512774,147192,,,
5179678,155423,,,
8159982,2731452,,,
4847959,2408867,,,
7268884,6261816,2173453,682485,
8159982,147192,,,
4737924,155423,,,
356011,5254193,,,
2173516,4498831,,,
1823524,0,,,
4110256,234590,,,
3004044,1870153,,,
2250791,1233251,,,
6290347,42353,1870153,,
9686,8055998,,,
1146183,3650362,,,
1610428,155423,,,
1610428,234590,,,
1610428,155423,94102,,
1610428,147192,,,
167531,497043,,,
1552674,2408867,,,
1819861,155423,,,
6720987,7762670,,,
4141219,4141219,234590,,
5573030,3650362,,,
3986895,147192,,,
12089,2733851,4529124,,
3191204,155423,,,
432509,0,,,
3241447,24817,,,
2971839,16800,1517578,,
7388133,2408867,,,
1489340,147192,,,
7331895,155423,,,
432509,1103681,,,
3150550,234590,1600898,,
3666903,147192,,,
4641854,155423,,,
6292577,866732,,,
5666325,1870153,2733851,,
508716,508716,147192,,
4264914,147192,6650102,,
5967828,1870153,1517578,4529124,
6879615,155423,234590,,
635786,2408867,320615,,
562222,562222,5138648,,
1870153,147192,,,
5967828,2977291,,,
2329104,2329104,,,
2329104,45668,,,
1942629,1540573,1517578,,
5967828,155423,,,
4329758,3204951,389119,,
432509,1517578,,,
2023432,0,,,
432509,155423,,,
432509,0,,,
432509,42353,,,
4777440,0,,,
2057294,None,,,
1750757,1103681,,,
5054909,42353,,,
3466751,497364,553092,,
4468905,788207,,,
5967828,147192,2765603,,
220447,147192,2408867,,
5904314,155423,,,
3745005,4998184,,,
3745005,1763356,,,
4808573,389119,,,
3466751,2408867,155423,,
3241447,2765603,,,
389119,5433623,,,
109549,155423,,,
5357246,155423,5278682,,
2046365,234590,,,
1088057,1190965,,,
109549,3949255,,,
2094999,0,,,
498594,498594,2626993,1446742,788207
4867446,4484166,,,
4048277,234590,1103681,,
2980246,1103681,,,
4465497,1103681,234590,,
2294472,155423,899752,,
1447973,None,788207,,
956680,0,,,
129805,497364,,,
4464757,667984,,,
3071121,788207,,,
139802,None,,,
3545872,234590,,,
3962074,1256624,,,
70600,813,,,
1753601,1256624,,,
1366913,2301531,,,
70600,497043,2157440,,
2128425,2488770,153092,,
902883,2301531,,,
2157639,2301531,58808,,
584423,1419479,,,
